tumor_id	normal_id	purity	ploidy
BC01-P1	BC01-N	NA	2
BC01-T	BC01-N	0.4660354869961649	2.079134489878354
BC01-T2	BC01-N	0.2926922868140062	2.513248783895121
BC02-P1	BC02-N	NA	2
BC02-T	BC02-N	0.5648102415076233	2.0507901976616854
BC03-P1	BC03-N	NA	2
BC03-T	BC03-N	0.29397808540055514	2.8657386489107597
BC04-P1	BC04-N	NA	2
BC04-T	BC04-N	0.3	1.7495433652501295
BC04-T2	BC04-N	0.6637282434983652	1.8312928995192383
BC05-P1	BC05-N	0.3	1.3230469074519644
BC05-T	BC05-N	0.3	1.326706659446481
BC06-P1	BC06-N	NA	2
BC06-T	BC06-N	0.5734541703562888	1.802022110369167
BC07-P1	BC07-N	NA	2
BC07-T	BC07-N	0.3	1.8699411618309911
BC07-T2	BC07-N	0.30842153408803896	2.170013213564068
BC08-P1	BC08-N	NA	2
BC08-T	BC08-N	0.36250058812525465	1.8061202694645981
BC08-T2	BC08-N	0.46707643827877743	3.4363033152122617
BC09-P1	BC09-N	NA	2
BC09-T	BC09-N	0.5370561960753595	1.8375640451425665
BC09-T2	BC09-N	0.7195939655668049	3.0813267111549534
BC10-P1	BC10-N	0.3	1.748855891117509
BC10-T2	BC10-N	0.6447970014197367	2.1751052993297573
BC12-P1	BC12-N	NA	2
BC12-T	BC12-N	0.266786705944118	2.0233323859003614
BC13-P1	BC13-N	NA	2
BC13-T	BC13-N	0.44603283910989433	3.7315966860959824
BC14-P1	BC14-N	NA	2
BC14-T2	BC14-N	0.3	1.8029259455983535
BC15-P1	BC15-N	NA	2
BC15-T2	BC15-N	0.34361297609576524	2.4124527677831087
BC16-P1	BC16-N	0.7279249443065612	1.947123217549263
BC16-T	BC16-N	0.7865955648910393	2.095817447706244
BC17-P1	BC17-N	0.7559010640206375	1.9516080923940011
BC17-T	BC17-N	0.8221865772068313	2.0505400377007743
BC18-P1	BC18-N	NA	2
BC18-T2	BC18-N	0.5980766813366397	3.242829636665608
BC20-P1	BC20-N	NA	2
BC20-T1	BC20-N	0.9030929479095882	1.9816501004687443
BC20-T2	BC20-N	0.507781102403439	2.128827891499322
BC21-P1	BC21-N	NA	2
BC21-T2	BC21-N	0.3	1.9546616078258332
BZ340691-T	JZ443616-N	0.8076362685535333	2.6018300968951897
LE984537-T	WQ935202-N	NA	2
OI612646-T	DZ621797-N	0.27266069966398987	4.0284190173055805
UO030693-T	WQ935202-N	0.3	1.829589388411607
WA450553-T	DZ621797-N	0.5985514450775326	2.0026242377057546
YW750609-T	DZ621797-N	0.4982560201802866	3.8965526776383923
