CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	LIBRARY	SAMPLE_NAME
FIRST_OF_PAIR	7313349	7313349	1	0	7312637	0.999903	878331771	7045030	848493656	831631088	0	0.003576	0.003289	1.4e-4	125	7297558	0.997938	81910	0.011201	0	0.515107	0.011603	7e-6	NA	BC20-T2
SECOND_OF_PAIR	7313349	7313349	1	0	7298270	0.997938	872493545	7025687	842620749	806085007	0	0.005799	0.005509	1.35e-4	125	7297558	0.999902	67543	0.009255	0	0.484336	0.01287	9e-6	NA	BC20-T2
PAIR	14626698	14626698	1	0	14610907	0.99892	1750825316	14070717	1691114405	1637716095	0	0.004684	0.004395	1.37e-4	125	14595116	0.998919	149453	0.010229	0	0.499737	0.012236	8e-6	NA	BC20-T2
FIRST_OF_PAIR	16928282	16928282	1	0	16926673	0.999905	2067091238	16497105	2017312517	1972307779	0	0.002926	0.002781	1.15e-4	125	16882654	0.997399	169227	0.009998	0	0.516979	0.008497	2e-6	NA	BC20-T1
SECOND_OF_PAIR	16928282	16928282	1	0	16884261	0.9974	2047280238	16441086	1997271738	1861219133	0	0.006981	0.00683	1.12e-4	125	16882654	0.999905	126815	0.007511	0	0.482519	0.009468	4e-6	NA	BC20-T1
PAIR	33856564	33856564	1	0	33810934	0.998652	4114371476	32938191	4014584255	3833526912	0	0.004944	0.004795	1.14e-4	125	33765308	0.998651	296042	0.008756	0	0.49977	0.008982	3e-6	NA	BC20-T1
FIRST_OF_PAIR	15504375	15504375	1	0	15503195	0.999924	1943176368	15053220	1888235068	1853372880	0	0.002465	0.002335	1.19e-4	126	15382086	0.992188	1203163	0.077607	0	0.489571	0.00726	6e-6	NA	BC18-P1
SECOND_OF_PAIR	15504375	15504375	1	0	15382838	0.992161	1915265524	14913311	1859744316	1740892727	0	0.0067	0.006494	1.2e-4	126	15382086	0.999951	1082806	0.070391	0	0.510048	0.007487	3.8e-5	NA	BC18-P1
PAIR	31008750	31008750	1	0	30886033	0.996043	3858441892	29966531	3747979384	3594265607	0	0.004567	0.004399	1.19e-4	126	30764172	0.996054	2285969	0.074013	0	0.49977	0.007373	2.2e-5	NA	BC18-P1
FIRST_OF_PAIR	15630338	15630338	1	0	15629407	0.99994	1958719253	15102398	1893963511	1863178707	0	0.002174	0.002016	1.13e-4	126	15596483	0.997893	1765330	0.112949	0	0.491686	0.011341	2e-6	NA	BC02-P1
SECOND_OF_PAIR	15630338	15630338	1	0	15597414	0.997894	1951753886	15059645	1886391522	1819608082	0	0.003828	0.003634	1.15e-4	126	15596483	0.99994	1733337	0.11113	0	0.507798	0.011493	6e-6	NA	BC02-P1
PAIR	31260676	31260676	1	0	31226821	0.998917	3910473139	30162043	3780355033	3682786789	0	0.002999	0.002824	1.14e-4	126	31192966	0.998916	3498667	0.11204	0	0.499734	0.011417	4e-6	NA	BC02-P1
FIRST_OF_PAIR	18501258	18501258	1	0	18453082	0.997396	1809204769	17845041	1752146832	1666419814	0	0.003516	0.003331	1.06e-4	100	18397550	0.996991	206496	0.01119	0	0.504007	0.008237	5e-6	NA	BC03-T
SECOND_OF_PAIR	18501258	18501258	1	0	18445726	0.996998	1803667588	17830091	1746406799	1623575446	0	0.004853	0.004661	1.03e-4	100	18397550	0.997388	199140	0.010796	0	0.495812	0.008899	6e-6	NA	BC03-T
PAIR	37002516	37002516	1	0	36898808	0.997197	3612872357	35675132	3498553631	3289995260	0	0.004183	0.003995	1.05e-4	100	36795100	0.997189	405636	0.010993	0	0.499911	0.008568	6e-6	NA	BC03-T
FIRST_OF_PAIR	22839133	22839133	1	0	22750923	0.996138	2230996740	22022572	2162770546	2058062284	0	0.003345	0.00317	1.09e-4	100	22692334	0.997425	274626	0.012071	0	0.505113	0.009331	4e-6	NA	BC01-T
SECOND_OF_PAIR	22839133	22839133	1	0	22780543	0.997435	2229158957	22043523	2160531522	2027449042	0	0.004043	0.003862	1.08e-4	100	22692334	0.996128	304246	0.013356	0	0.49468	0.010038	4e-6	NA	BC01-T
PAIR	45678266	45678266	1	0	45531466	0.996786	4460155697	44066095	4323302068	4085511326	0	0.003693	0.003516	1.08e-4	100	45384668	0.996776	578872	0.012714	0	0.499893	0.009685	4e-6	NA	BC01-T
FIRST_OF_PAIR	11083711	11083711	1	0	11082831	0.999921	1349808278	10709861	1306370497	1274292901	0	0.003119	0.002955	1.27e-4	125	11062870	0.998199	100538	0.009072	0	0.517995	0.008212	1e-6	NA	BC18-T2
SECOND_OF_PAIR	11083711	11083711	1	0	11063750	0.998199	1339182397	10682480	1295685877	1217128526	0	0.006401	0.00623	1.22e-4	125	11062870	0.99992	81457	0.007363	0	0.48174	0.009365	2e-6	NA	BC18-T2
PAIR	22167422	22167422	1	0	22146581	0.99906	2688990675	21392341	2602056374	2491421427	0	0.004754	0.004586	1.24e-4	125	22125740	0.999059	181995	0.008218	0	0.499883	0.008788	1e-6	NA	BC18-T2
FIRST_OF_PAIR	16285976	16285976	1	0	16244729	0.997467	1594542933	15750000	1548021227	1469372297	0	0.003467	0.003299	1.1e-4	100	16200569	0.997282	147844	0.009101	0	0.503056	0.005652	5e-6	NA	BC07-T
SECOND_OF_PAIR	16285976	16285976	1	0	16241815	0.997288	1590460765	15741098	1543737525	1442955538	0	0.004302	0.004127	1.07e-4	100	16200569	0.997461	144930	0.008923	0	0.496835	0.006176	6e-6	NA	BC07-T
PAIR	32571952	32571952	1	0	32486544	0.997378	3185003698	31491098	3091758752	2912327835	0	0.003884	0.003713	1.08e-4	100	32401138	0.997371	292774	0.009012	0	0.499946	0.005914	5e-6	NA	BC07-T
FIRST_OF_PAIR	31544941	31544941	1	0	31541294	0.999884	3122582556	30092203	2986625510	2948028034	0	0.003194	0.002565	1.65e-4	100	31484039	0.998185	598994	0.018991	0	0.50952	0.017224	1e-6	NA	BC05-T
SECOND_OF_PAIR	31544941	31544941	1	0	31487686	0.998185	3109174841	30019570	2973055712	2883389964	0	0.004595	0.00396	1.55e-4	100	31484039	0.999884	545386	0.017321	0	0.48994	0.017719	3e-6	NA	BC05-T
PAIR	63089882	63089882	1	0	63028980	0.999035	6231757397	60111773	5959681222	5831417998	0	0.003893	0.003261	1.6e-4	100	62968078	0.999034	1144380	0.018156	0	0.499739	0.017471	2e-6	NA	BC05-T
FIRST_OF_PAIR	8590179	8590179	1	0	8589618	0.999935	1032487090	8237777	993211106	973682556	0	0.003578	0.00316	1.52e-4	125	8573672	0.998144	86026	0.010015	0	0.511929	0.009204	3e-6	NA	BC21-T2
SECOND_OF_PAIR	8590179	8590179	1	0	8574233	0.998144	1025168438	8215941	985938909	942898899	0	0.005811	0.005401	1.44e-4	125	8573672	0.999935	70641	0.008239	0	0.48777	0.010609	7e-6	NA	BC21-T2
PAIR	17180358	17180358	1	0	17163851	0.999039	2057655528	16453718	1979150015	1916581455	0	0.004691	0.004276	1.48e-4	125	17147344	0.999038	156667	0.009128	0	0.49986	0.009906	5e-6	NA	BC21-T2
FIRST_OF_PAIR	9245533	9245533	1	0	9244315	0.999868	1079901616	8896233	1042323632	1023539802	0	0.003062	0.002883	1.2e-4	126	9228628	0.998303	79675	0.008619	0	0.511839	0.009366	5e-6	NA	BC09-T2
SECOND_OF_PAIR	9245533	9245533	1	0	9229846	0.998303	1073198177	8875899	1035583984	1002468479	0	0.004303	0.004127	1.2e-4	126	9228628	0.999868	65206	0.007065	0	0.487814	0.012103	9e-6	NA	BC09-T2
PAIR	18491066	18491066	1	0	18474161	0.999086	2153099793	17772132	2077907616	2026008281	0	0.003681	0.003503	1.2e-4	126	18457256	0.999085	144881	0.007842	0	0.499836	0.010733	7e-6	NA	BC09-T2
FIRST_OF_PAIR	13879507	13879507	1	0	13845196	0.997528	1357091911	13391067	1314422243	1249889746	0	0.003548	0.003357	1.06e-4	100	13807568	0.997282	132876	0.009597	0	0.496604	0.00677	3e-6	NA	BC02-T
SECOND_OF_PAIR	13879507	13879507	1	0	13841876	0.997289	1353417696	13382380	1310572489	1213810743	0	0.004992	0.004793	1.05e-4	100	13807568	0.997521	129556	0.00936	0	0.503223	0.007244	7e-6	NA	BC02-T
PAIR	27759014	27759014	1	0	27687072	0.997408	2710509607	26773447	2624994732	2463700489	0	0.004269	0.004074	1.06e-4	100	27615136	0.997402	262432	0.009479	0	0.499913	0.007007	5e-6	NA	BC02-T
FIRST_OF_PAIR	12050459	12050459	1	0	12049393	0.999912	1449140538	11614856	1400014426	1368809163	0	0.003304	0.003118	1.39e-4	125	12024890	0.997966	152706	0.012673	0	0.508335	0.01438	3e-6	NA	BC04-T2
SECOND_OF_PAIR	12050459	12050459	1	0	12025956	0.997967	1438637090	11581228	1389277960	1323029566	0	0.005634	0.005442	1.35e-4	125	12024890	0.999911	129269	0.010749	0	0.491202	0.015751	6e-6	NA	BC04-T2
PAIR	24100918	24100918	1	0	24075349	0.998939	2887777628	23196084	2789292386	2691838729	0	0.004465	0.004275	1.37e-4	125	24049780	0.998938	281975	0.011712	0	0.499777	0.015065	4e-6	NA	BC04-T2
FIRST_OF_PAIR	9142486	9142486	1	0	9141981	0.999945	1142937704	8847273	1106877635	1089740292	0	0.002186	0.002037	1.11e-4	126	9126100	0.998263	772953	0.08455	0	0.494619	0.009455	1e-6	NA	BC12-P1
SECOND_OF_PAIR	9142486	9142486	1	0	9126604	0.998263	1139734346	8827104	1103433939	1069819223	0	0.003445	0.003272	1.14e-4	126	9126100	0.999945	757576	0.083007	0	0.504926	0.009579	3e-6	NA	BC12-P1
PAIR	18284972	18284972	1	0	18268585	0.999104	2282672050	17674377	2210311574	2159559515	0	0.002815	0.002654	1.13e-4	126	18252200	0.999103	1530529	0.083779	0	0.499768	0.009517	2e-6	NA	BC12-P1
FIRST_OF_PAIR	10114338	10114338	1	0	10113606	0.999928	1229119941	9807499	1193830244	1167972593	0	0.002921	0.002738	1.26e-4	125	10097383	0.998396	88088	0.00871	0	0.516795	0.007934	1e-6	NA	BC10-T2
