ACCUMULATION_LEVEL	READS_USED	WINDOW_SIZE	TOTAL_CLUSTERS	ALIGNED_READS	AT_DROPOUT	GC_DROPOUT	GC_NC_0_19	GC_NC_20_39	GC_NC_40_59	GC_NC_60_79	GC_NC_80_100	SAMPLE	LIBRARY	READ_GROUP	SAMPLE_NAME
All Reads	ALL	100	7313349	14610907	41.212213	0.020553	0.167355	0.367114	0.990886	7.543419	6.639466	NA	NA	NA	BC20-T2
All Reads	ALL	100	16928282	33810934	43.433681	0.033913	0.156823	0.342446	0.981637	7.917376	5.135983	NA	NA	NA	BC20-T1
All Reads	ALL	100	15504375	30886033	34.504157	0.002756	0.166873	0.426663	1.060806	6.288871	4.643085	NA	NA	NA	BC18-P1
All Reads	ALL	100	15630338	31226821	36.991748	0.0020830000000000002	0.118569	0.3827	1.064929	6.699377	4.82013	NA	NA	NA	BC02-P1
All Reads	ALL	100	18501258	36898808	39.121476	5.57e-4	0.134307	0.364156	1.114837	6.391058	4.956077	NA	NA	NA	BC03-T
All Reads	ALL	100	22839133	45531466	35.152074	5.6e-5	0.148984	0.414842	1.114915	5.876555	4.749018	NA	NA	NA	BC01-T
All Reads	ALL	100	11083711	22146581	28.156333	0.0071590000000000004	0.24726	0.53107	1.044349	5.418306	2.564832	NA	NA	NA	BC18-T2
All Reads	ALL	100	16285976	32486544	28.797424	7.36e-4	0.181136	0.500044	1.116522	5.008902	3.759622	NA	NA	NA	BC07-T
All Reads	ALL	100	31544941	63028980	24.715702	0.015636	0.33177	0.575201	1.101258	4.410471	1.820776	NA	NA	NA	BC05-T
All Reads	ALL	100	8590179	17163851	24.584947	8e-4	0.295568	0.578059	1.056883	4.769256	4.555149	NA	NA	NA	BC21-T2
All Reads	ALL	100	9245533	18474161	40.243156	1.19e-4	0.118731	0.348028	1.026659	7.386847	6.924452	NA	NA	NA	BC09-T2
All Reads	ALL	100	13879507	27687072	38.115251	2.33e-4	0.130857	0.386938	1.084975	6.459634	4.680624	NA	NA	NA	BC02-T
All Reads	ALL	100	12050459	24075349	43.497927	0.100704	0.129456	0.331388	0.959559	8.232315	6.097742	NA	NA	NA	BC04-T2
All Reads	ALL	100	9142486	18268585	34.307098	0.001058	0.120449	0.415911	1.076256	6.253103	4.646876	NA	NA	NA	BC12-P1
All Reads	ALL	100	10114338	20211721	26.737642	0.006025	0.240203	0.551104	1.03957	5.255703	2.91214	NA	NA	NA	BC10-T2
All Reads	ALL	100	20270432	40409811	36.787376	0.001877	0.138095	0.393161	1.056596	6.660217	5.408674	NA	NA	NA	BC04-P1
All Reads	ALL	100	19341697	38583121	36.226275	9.86e-4	0.137	0.394519	1.065513	6.552497	5.717022	NA	NA	NA	BC21-P1
