ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP	SAMPLE_NAME
All Reads	ALL	0	132619	37	15	0.054703	0.008993	NA	NA	NA	BC20-T2
All Reads	ALL	1	95016	28	13	0.057779	0.010919	NA	NA	NA	BC20-T2
All Reads	ALL	2	109250	38	14	0.068198	0.011063	NA	NA	NA	BC20-T2
All Reads	ALL	3	139082	114	17	0.160711	0.015052	NA	NA	NA	BC20-T2
All Reads	ALL	4	149438	57	16	0.074787	0.009906	NA	NA	NA	BC20-T2
All Reads	ALL	5	152532	166	14	0.213383	0.016562	NA	NA	NA	BC20-T2
All Reads	ALL	6	173446	411	16	0.464611	0.022918	NA	NA	NA	BC20-T2
All Reads	ALL	7	187203	350	17	0.366579	0.019594	NA	NA	NA	BC20-T2
All Reads	ALL	8	213554	123	15	0.11293	0.010183	NA	NA	NA	BC20-T2
All Reads	ALL	9	241757	214	18	0.173559	0.011864	NA	NA	NA	BC20-T2
All Reads	ALL	10	285954	232	18	0.159076	0.010444	NA	NA	NA	BC20-T2
All Reads	ALL	11	351175	190	17	0.106082	0.007696	NA	NA	NA	BC20-T2
All Reads	ALL	12	460264	252	17	0.107351	0.006762	NA	NA	NA	BC20-T2
All Reads	ALL	13	609431	448	18	0.144134	0.00681	NA	NA	NA	BC20-T2
All Reads	ALL	14	866131	492	19	0.111376	0.005021	NA	NA	NA	BC20-T2
All Reads	ALL	15	1276991	705	18	0.108246	0.004077	NA	NA	NA	BC20-T2
All Reads	ALL	16	1912298	1302	18	0.133496	0.0037	NA	NA	NA	BC20-T2
All Reads	ALL	17	2873264	2067	18	0.141051	0.003102	NA	NA	NA	BC20-T2
All Reads	ALL	18	4310883	3823	18	0.17388	0.002812	NA	NA	NA	BC20-T2
All Reads	ALL	19	6364320	6794	17	0.209308	0.002539	NA	NA	NA	BC20-T2
All Reads	ALL	20	9194506	10438	17	0.222587	0.002179	NA	NA	NA	BC20-T2
All Reads	ALL	21	12934834	16718	16	0.253417	0.00196	NA	NA	NA	BC20-T2
All Reads	ALL	22	17664262	19004	18	0.210941	0.00153	NA	NA	NA	BC20-T2
All Reads	ALL	23	23450931	23464	21	0.19618	0.001281	NA	NA	NA	BC20-T2
All Reads	ALL	24	30272954	32022	22	0.207398	0.001159	NA	NA	NA	BC20-T2
All Reads	ALL	25	37967796	43380	22	0.22402	0.001076	NA	NA	NA	BC20-T2
All Reads	ALL	26	46244861	55498	23	0.235302	9.99e-4	NA	NA	NA	BC20-T2
All Reads	ALL	27	54888845	68093	23	0.243237	9.32e-4	NA	NA	NA	BC20-T2
All Reads	ALL	28	63607757	83439	23	0.2572	8.9e-4	NA	NA	NA	BC20-T2
All Reads	ALL	29	72092623	101245	23	0.275356	8.65e-4	NA	NA	NA	BC20-T2
All Reads	ALL	30	80150381	118986	23	0.291073	8.44e-4	NA	NA	NA	BC20-T2
All Reads	ALL	31	87582575	138939	23	0.311041	8.34e-4	NA	NA	NA	BC20-T2
All Reads	ALL	32	94099516	159407	23	0.332148	8.32e-4	NA	NA	NA	BC20-T2
All Reads	ALL	33	99563693	180211	23	0.354889	8.36e-4	NA	NA	NA	BC20-T2
All Reads	ALL	34	103822748	201564	23	0.380656	8.48e-4	NA	NA	NA	BC20-T2
All Reads	ALL	35	107046720	224233	22	0.410713	8.67e-4	NA	NA	NA	BC20-T2
All Reads	ALL	36	109094349	248769	22	0.447101	8.96e-4	NA	NA	NA	BC20-T2
All Reads	ALL	37	109759029	268074	22	0.47888	9.25e-4	NA	NA	NA	BC20-T2
All Reads	ALL	38	108742561	284246	22	0.512515	9.61e-4	NA	NA	NA	BC20-T2
All Reads	ALL	39	106350740	295883	22	0.545496	0.001003	NA	NA	NA	BC20-T2
All Reads	ALL	40	102986732	299224	22	0.569675	0.001041	NA	NA	NA	BC20-T2
All Reads	ALL	41	98941479	297727	22	0.59	0.001081	NA	NA	NA	BC20-T2
All Reads	ALL	42	94444701	299791	22	0.622376	0.001137	NA	NA	NA	BC20-T2
All Reads	ALL	43	89958166	291838	23	0.636082	0.001177	NA	NA	NA	BC20-T2
All Reads	ALL	44	85906450	282600	23	0.644998	0.001213	NA	NA	NA	BC20-T2
All Reads	ALL	45	82456226	277981	23	0.661003	0.001254	NA	NA	NA	BC20-T2
All Reads	ALL	46	79550344	281407	23	0.693593	0.001307	NA	NA	NA	BC20-T2
All Reads	ALL	47	77085421	287890	23	0.732262	0.001365	NA	NA	NA	BC20-T2
All Reads	ALL	48	74497370	292679	23	0.770305	0.001424	NA	NA	NA	BC20-T2
All Reads	ALL	49	71272749	299761	24	0.824638	0.001506	NA	NA	NA	BC20-T2
All Reads	ALL	50	67162836	307146	23	0.89666	0.001618	NA	NA	NA	BC20-T2
All Reads	ALL	51	62356075	315065	23	0.99068	0.001765	NA	NA	NA	BC20-T2
All Reads	ALL	52	57369069	329685	24	1.126765	0.001962	NA	NA	NA	BC20-T2
All Reads	ALL	53	52702057	344198	24	1.280539	0.002183	NA	NA	NA	BC20-T2
All Reads	ALL	54	48542265	366489	24	1.48031	0.002445	NA	NA	NA	BC20-T2
All Reads	ALL	55	44876597	386069	24	1.686774	0.002715	NA	NA	NA	BC20-T2
All Reads	ALL	56	41346578	405861	24	1.924641	0.003021	NA	NA	NA	BC20-T2
All Reads	ALL	57	37594432	432768	24	2.257062	0.003431	NA	NA	NA	BC20-T2
All Reads	ALL	58	33458358	456611	24	2.6758	0.00396	NA	NA	NA	BC20-T2
All Reads	ALL	59	28972655	474152	24	3.208789	0.00466	NA	NA	NA	BC20-T2
All Reads	ALL	60	24470214	482237	24	3.863978	0.005564	NA	NA	NA	BC20-T2
All Reads	ALL	61	20316562	485093	24	4.681518	0.006722	NA	NA	NA	BC20-T2
