BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP	SAMPLE_NAME
IMPACT341_b37_baits	1648657	0.564285	824942691	185570988	740311637	0.577164	0.422836	0.81636	500.37254	0.451198	0.172678	886.47217	9665670	10.288392	10.403843	10.542384	10.680925	10.810229	11.567587	930312	3101804739	14626698	14626698	1828337250	11970692	11954901	1750825316	1428025365	315714476	1	0.818414	0.998681	339.36408	200	3874	0	0.003871	0.18437	1e-6	0.030911	0.016912	0.197978	0.389526	2.247444	0.997318	0.997089	0.996734	0.99648	0.996258	0.996043	0.99554	0.95623	21.0475	3.609754	0.996998	25	NA	NA	NA	BC20-T2
IMPACT341_b37_baits	1648657	0.564285	2052392705	500818889	1561159882	0.620559	0.379441	0.803847	1244.88763	0.484962	0.152206	938.514758	11090034	14.604318	14.820981	15.073754	15.335555	15.600967	17.16094	930312	3101804739	33856564	33856564	4232070500	22127115	22081485	4114371476	2673601190	644145892	1	0.653555	0.997938	692.397703	200	11905	0	0.003871	0.35018	0	0.019622	0.016745	0.141551	0.315354	3.461989	0.997165	0.997119	0.99684	0.996614	0.996514	0.996422	0.996275	0.994012	22.019535	3.464867	0.997067	25	NA	NA	NA	BC20-T1
IMPACT341_b37_baits	1648657	0.564285	1872025104	477828025	1508588763	0.609016	0.390984	0.796656	1135.484885	0.479134	0.077521	912.817271	3924972	8.866646	9.088753	9.310861	9.560732	9.821708	11.554147	930312	3101804739	31008750	31008750	3907102500	13052082	12929365	3858441892	1611983515	302882537	1	0.420916	0.990598	325.570924	200	1347	0	0.003291	0.582219	1e-6	0.017739	0.007729	0.100728	0.213095	1.627855	0.997285	0.997003	0.996674	0.996351	0.996013	0.995535	0.995095	0.991414	5.201555	0.648059	0.997011	25	NA	NA	NA	BC18-P1
IMPACT341_b37_baits	1648657	0.564285	2038446230	395175480	1476851429	0.622334	0.377666	0.837618	1236.428335	0.517524	0.129541	980.740471	8066752	12.686473	12.921771	13.15707	13.418512	13.70087	15.353187	930312	3101804739	31260676	31260676	3938845176	18579868	18546013	3910473139	2319313204	510240406	1	0.594353	0.998178	548.461598	200	3299	0	0.004646	0.406897	1e-6	0.023479	0.007998	0.161834	0.269325	2.742308	0.996852	0.996645	0.996435	0.996179	0.996022	0.995749	0.995624	0.99401	11.348283	1.102404	0.99667	25	NA	NA	NA	BC02-P1
IMPACT341_b37_baits	1648657	0.564285	1913624844	421962806	1277284707	0.646463	0.353537	0.819333	1160.717386	0.517161	0.180655	996.525295	14328966	13.222458	13.409592	13.61232	13.830643	14.03649	15.308999	930312	3101804739	37002516	37002516	3700251600	24947281	24843573	3612872357	2425022518	668467580	1	0.674205	0.995843	718.541285	200	4132	0	0.002904	0.328783	1e-6	0.024642	0.023889	0.114763	0.322904	3.592706	0.997684	0.997581	0.997196	0.996946	0.996794	0.996623	0.996498	0.99546	15.229362	0.406364	0.997548	26	NA	NA	NA	BC03-T
IMPACT341_b37_baits	1648657	0.564285	2379723994	529264274	1551167429	0.652217	0.347783	0.818059	1443.431832	0.520975	0.171316	1003.831256	15441184	15.46105	15.691707	15.970417	16.239517	16.516305	18.177035	930312	3101804739	45678266	45678266	4567826600	29147282	29000482	4460155697	2830129579	782543059	1	0.6381	0.994964	841.161953	200	3733	0	0.002904	0.365464	0	0.023217	0.019983	0.108699	0.307189	4.20581	0.997735	0.997602	0.997247	0.997	0.996877	0.996781	0.996698	0.996099	11.861417	1.03617	0.997596	26	NA	NA	NA	BC01-T
IMPACT341_b37_baits	1648657	0.564285	1345657039	331172631	1012161005	0.623591	0.376409	0.802501	816.214069	0.485634	0.158296	941.519319	9673686	10.532921	10.656994	10.810608	10.958315	11.117837	11.996984	930312	3101804739	22167422	22167422	2770927750	16014127	15993286	2688990675	1933554149	438626802	1	0.722417	0.998699	471.483547	200	3296	0	0.003678	0.280937	0	0.027488	0.018137	0.161795	0.348537	2.357418	0.997175	0.997055	0.996718	0.996344	0.99591	0.995488	0.995117	0.99156	7.648865	2.378151	0.996982	25	NA	NA	NA	BC18-T2
IMPACT341_b37_baits	1648657	0.564285	1698550194	393061615	1093391889	0.656706	0.343294	0.812077	1030.262932	0.521476	0.175378	1003.350309	11824964	11.30853	11.47324	11.651677	11.843839	12.057963	13.210937	930312	3101804739	32571952	32571952	3257195200	21285750	21200342	3185003698	2071449960	571240538	1	0.653499	0.995988	614.03114	200	3011	0	0.00271	0.349624	1e-6	0.022787	0.022302	0.108895	0.317043	3.070156	0.997815	0.997762	0.997269	0.997029	0.996775	0.996599	0.996408	0.995261	4.369138	1.293297	0.997713	26	NA	NA	NA	BC07-T
IMPACT341_b37_baits	1648657	0.564285	2649534039	937165072	2645058286	0.575552	0.424448	0.738711	1607.086276	0.419962	0.122709	799.913654	12161951	18.237397	18.614541	19.019621	19.452638	19.880068	22.595503	930312	3101804739	63089882	63089882	6308988200	33848780	33787878	6231757397	3328365914	774167189	1	0.536517	0.998201	832.158662	200	2840	0	0.002323	0.465903	0	0.031295	0.006599	0.052803	0.319177	4.160793	0.997851	0.997785	0.997534	0.997054	0.996333	0.995695	0.995206	0.99297	1.828697	1.811605	0.997739	26	NA	NA	NA	BC05-T
IMPACT341_b37_baits	1648657	0.564285	955968300	235793287	865893941	0.579184	0.420816	0.802147	579.846687	0.445145	0.159564	874.08761	10871682	9.038668	9.133916	9.206487	9.2972	9.39517	9.885021	930312	3101804739	17180358	17180358	2147544750	13970508	13954001	2057655528	1667018079	342670110	1	0.813167	0.998818	368.338912	200	2097	0	0.003871	0.189846	1e-6	0.034406	0.016944	0.190826	0.401463	1.841695	0.997233	0.997036	0.996697	0.996456	0.99628	0.996083	0.995837	0.993703	4.48544	2.403666	0.996975	25	NA	NA	NA	BC21-T2
IMPACT341_b37_baits	1648657	0.564285	1107092401	179076417	866930975	0.597357	0.402643	0.860768	671.511661	0.475173	0.134649	967.395037	6979045	9.154142	9.310642	9.457657	9.609415	9.791525	10.7476	930312	3101804739	18491066	18491066	2329874316	13054287	13037382	2153099793	1502252654	313715827	1	0.705978	0.998705	337.215716	200	2876	0	0.003871	0.302284	1e-6	0.029005	0.008908	0.23229	0.281831	1.883887	0.997165	0.996775	0.996494	0.996282	0.996126	0.995947	0.995468	0.973781	15.1253	2.905782	0.996765	25	NA	NA	NA	BC09-T2
IMPACT341_b37_baits	1648657	0.564285	1473353442	298077674	939078491	0.653542	0.346458	0.831731	893.668872	0.530766	0.174463	1022.680877	9661382	9.453162	9.592874	9.767513	9.924689	10.08885	11.094775	930312	3101804739	27759014	27759014	2775901400	17831034	17759092	2710509607	1731974894	484290743	1	0.642351	0.995965	520.568092	200	7595	0	0.002904	0.361015	0	0.024064	0.021978	0.121094	0.293183	2.60284	0.997733	0.997631	0.997225	0.996972	0.996747	0.996534	0.996342	0.994228	13.941058	1.670522	0.997559	26	NA	NA	NA	BC02-T
IMPACT341_b37_baits	1648657	0.564285	1475183427	296334704	1116259497	0.613454	0.386546	0.832723	894.778858	0.489669	0.141215	961.095229	7451716	10.150337	10.322937	10.495537	10.687314	10.863749	11.999072	930312	3101804739	24100918	24100918	3012614750	15678505	15652936	2887777628	1859384526	425425639	1	0.650536	0.998369	457.293509	200	2696	0	0.003678	0.356119	0	0.027549	0.011536	0.175242	0.282253	2.286468	0.997287	0.996924	0.996613	0.996451	0.996322	0.996183	0.995933	0.98491	20.946818	3.767134	0.996921	25	NA	NA	NA	BC04-T2
IMPACT341_b37_baits	1648657	0.564285	1209427600	220792267	852452183	0.626555	0.373445	0.845624	733.583517	0.524946	0.142916	996.82862	6066897	8.159851	8.280897	8.422116	8.56838	8.71666	9.588187	930312	3101804739	18284972	18284972	2303906472	11996221	11979834	2282672050	1494514149	329265058	1	0.65607	0.998634	353.929712	200	1799	0	0.004646	0.345279	0	0.024272	0.007868	0.192624	0.285727	1.769649	0.996782	0.996543	0.996321	0.996002	0.995697	0.995389	0.995048	0.98891	9.796838	1.186415	0.996602	25	NA	NA	NA	BC12-P1
IMPACT341_b37_baits	1648657	0.564285	1243040933	288149501	918057717	0.625168	0.374832	0.811813	753.971829	0.491596	0.145592	954.85359	7576664	9.124952	9.270496	9.410649	9.545412	9.703893	10.583624	930312	3101804739	20228676	20228676	2528584500	13913924	13896969	2449248151	1674408753	368141503	1	0.687832	0.998781	395.718321	200	4107	0	0.004065	0.316358	0	0.024046	0.014261	0.163762	0.331278	1.978592	0.996952	0.996789	0.996344	0.995966	0.995542	0.995145	0.994657	0.989256	6.310206	2.490916	0.996709	25	NA	NA	NA	BC10-T2
IMPACT341_b37_baits	1648657	0.564285	2412710718	631948449	2004859605	0.60296	0.39704	0.79244	1463.440072	0.472326	0.111891	898.95801	8389875	15.215807999999999	15.526132	15.882431	16.215743	16.581237	18.815575	930312	3101804739	40540864	40540864	5108148864	22390505	22259452	5049518772	2779466377	571556052	1	0.552295	0.994147	614.370289	200	2802	0	0.003678	0.449558	1e-6	0.020463	0.010634	0.129129	0.277037	3.071851	0.997245	0.997191	0.99702	0.996706	0.996588	0.996358	0.996103	0.99517	11.373519	1.181691	0.997199	26	NA	NA	NA	BC04-P1
IMPACT341_b37_baits	1648657	0.564285	2394184835	508255773	1918042194	0.602106	0.397894	0.824887	1452.203117	0.491205	0.08606	934.439702	5632664	12.142517	12.433025	12.734925	13.065307	13.400245	15.614941	930312	3101804739	38683394	38683394	4874107644	17848720	17748447	4820482802	2211516006	419464048	1	0.461405	0.994382	450.885346	200	1637	0	0.004065	0.541225	3e-6	0.020562	0.005616	0.130679	0.21491	2.254427	0.997099	0.996723	0.996548	0.996431	0.996274	0.995982	0.995754	0.994135	7.747484	0.681031	0.996806	25	NA	NA	NA	BC21-P1
IMPACT341_b37_baits	1648657	0.564285	1445023327	280894368	1032699188	0.625646	0.374354	0.837249	876.485119	0.520027	0.154261	985.524925	8371282	10.311234	10.475119	10.620795	10.78468	10.955848	11.946442	930312	3101804739	22053526	22053526	2778744276	15153368	15132676	2758616883	1892905631	428651604	1	0.687118	0.998634	460.761125	200	2790	0	0.004259	0.313821	1e-6	0.025865	0.008806	0.190386	0.305752	2.303806	0.997044	0.996667	0.996475	0.996208	0.995898	0.995686	0.995388	0.992423	13.256538	1.458913	0.996777	25	NA	NA	NA	BC06-P1
IMPACT341_b37_baits	1648657	0.564285	2754706199	806141993	2313426208	0.606177	0.393823	0.77361	1670.878903	0.462812	0.112435	882.277494	9967247	17.818593	18.178743	18.565571	18.93906	19.403254	21.964322	930312	3101804739	47238968	47238968	5952109968	26250241	26077499	5874274400	3252457267	669222917	1	0.55569	0.993419	719.353203	200	4034	0	0.003291	0.446322	1e-6	0.018282	0.012755	0.115237	0.29349	3.596766	0.997385	0.997191	0.996916	0.996736	0.996552	0.996425	0.996327	0.995597	9.188198	1.225251	0.997214	26	NA	NA	NA	BC10-P1
IMPACT341_b37_baits	1648657	0.564285	1185994474	224361519	842719618	0.625969	0.374031	0.840919	719.370053	0.522531	0.126713	990.35533	4526156	7.212475	7.348475	7.504622	7.650695	7.810872	8.753799	930312	3101804739	18013592	18013592	2269712592	10568876	10553456	2253075611	1319168578	287602907	1	0.586717	0.998541	309.146724	200	1863	0	0.004646	0.414503	1e-6	0.022751	0.006586	0.162027	0.266496	1.545734	0.996815	0.996662	0.996247	0.995957	0.995654	0.995307	0.994859	0.986655	8.055081	0.706197	0.996661	25	NA	NA	NA	BC09-P1
IMPACT341_b37_baits	1648657	0.564285	1046828810	223435638	679511270	0.651493	0.348507	0.824103	634.958521	0.521425	0.168767	1010.125078	6904478	6.804735	6.918051	7.02717	7.144683	7.265553	7.980702	930312	3101804739	20076292	20076292	2007629200	12916839	12838851	1949775718	1246518470	338821379	1	0.643388	0.993962	364.20188	200	1635	0	0.003097	0.360686	2e-6	0.024588	0.021572	0.1142	0.305184	1.821009	0.997621	0.99755	0.997099	0.99672	0.996429	0.996245	0.995891	0.991436	2.476356	1.253973	0.997513	26	NA	NA	NA	BC04-T
IMPACT341_b37_baits	1648657	0.564285	2046715961	555740718	1702770655	0.604488	0.395512	0.786455	1241.444376	0.469539	0.08497	894.428505	4928166	10.647554	10.90663	11.175866	11.470502	11.757009	13.707699	930312	3101804739	34595184	34595184	4358993184	15674601	15552785	4305227334	1939169207	370384780	1	0.453086	0.992228	398.129638	200	1378	0	0.003871	0.549578	2e-6	0.017506	0.00786	0.104442	0.234591	1.990648	0.997221	0.997191	0.996827	0.996652	0.996399	0.996019	0.995572	0.993018	5.510554	0.69051	0.997172	25	NA	NA	NA	BC20-P1
IMPACT341_b37_baits	1648657	0.564285	1832363795	452857832	1173273558	0.660756	0.339244	0.801832	1111.428147	0.517512	0.186986	996.801473	13878585	12.654314	12.856496	13.0437	13.238393	13.445068	14.667141	930312	3101804739	35407166	35407166	3540716600	23873378	23747081	3458495185	2322691812	662065469	1	0.674253	0.99471	711.659603	200	11858	0	0.002904	0.32841	0	0.024029	0.027534	0.096338	0.332263	3.558298	0.997782	0.997775	0.997518	0.997188	0.997056	0.996932	0.996697	0.995149	18.440183	1.914689	0.99775	26	NA	NA	NA	BC06-T
IMPACT341_b37_baits	1648657	0.564285	1386565703	322634763	1428488456	0.544732	0.455268	0.811236	841.027396	0.428246	0.134228	831.408985	6988525	12.468664	12.761651	13.068589	13.431334	13.766176	16.076585	930312	3101804739	32377750	32377750	3237775000	19015580	18940553	3137688922	1826186766	434601107	1	0.587304	0.996054	467.156295	200	2798	0	0.00271	0.417983	5e-6	0.039012	0.010502	0.087953	0.306045	2.901592	0.997837	0.997756	0.997297	0.997005	0.996616	0.995872	0.99415	0.950592	25.449985	2.411632	0.99764	26	NA	NA	NA	BC16-T
IMPACT341_b37_baits	1648657	0.564285	2506571838	576793632	1989781600	0.607782	0.392218	0.812934	1520.371938	0.488895	0.053467	929.580163	3441285	9.077817	9.315886	9.573794	9.831702	10.129288	12.129066	930312	3101804739	40690562	40690562	5127010812	13333917	13230799	5073147070	1646536264	274123848	1	0.327691	0.992266	294.657973	200	1363	0	0.004065	0.675441	3e-6	0.016263	0.003735	0.087095	0.163439	1.47329	0.99703	0.996805	0.996499	0.996021	0.99558	0.995161	0.994566	0.989969	3.414999	0.679525	0.996811	25	NA	NA	NA	BC14-P1
IMPACT341_b37_baits	1648657	0.564285	185767203	40341022	163886759	0.579772	0.420228	0.821585	112.677897	0.452341	0.170425	896.177766	3291779	7.492451	7.69756	7.912925	8.159057	8.405188	10.111698	930312	3101804739	3285438	3285438	410679750	2870089	2866801	389994984	339853477	69990283	1	0.873579	0.998854	75.233129	70	663	0	0.004259	0.12857	1e-6	0.03453	0.01645	0.232336	0.408673	1.504663	0.996696	0.996447	0.993107	0.988537	0.971993	0.91563	0.810158	0.176664	4.679364	2.246973	0.995538	24	NA	NA	NA	BC14-T2
IMPACT341_b37_baits	1648657	0.564285	2406548358	656509466	2032072407	0.601174	0.398826	0.785669	1459.702266	0.466586	0.084479	888.635069	5831673	12.620175	12.907559	13.218892	13.554174	13.913404	16.212478	930312	3101804739	40934766	40934766	5157780516	18540916	18400032	5095130231	2294347714	435721828	1	0.452938	0.992401	468.360967	200	2437	0	0.003291	0.549698	1e-6	0.018436	0.00779	0.103716	0.234853	2.341805	0.997555	0.997254	0.996821	0.996574	0.99631	0.995943	0.995509	0.993023	4.200265	0.924391	0.997283	26	NA	NA	NA	BC15-P1
