MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	LIBRARY	SAMPLE_NAME
178	152	47	2	231776825	189.784048	74.87452	5921020	FR	19	37	57	75	95	119	145	177	235	307	473	NA	BC20-T2
191	157	49	2	243082559	203.010179	77.661727	10951651	FR	19	39	57	77	99	121	149	183	243	317	495	NA	BC20-T1
176	167	17	2	243087112	187.625766	52.109217	6383928	FR	7	13	19	27	35	49	71	189	337	417	801	NA	BC18-P1
171	167	14	2	243082661	173.172479	33.200421	9136790	FR	5	11	15	21	29	39	53	77	271	335	531	NA	BC02-P1
171	143	48	2	245537029	183.909312	75.830615	12317404	FR	19	37	57	75	97	119	145	177	237	313	487	NA	BC03-T
171	146	48	2	237600897	183.915401	76.288436	14361849	FR	19	37	57	75	97	119	145	177	237	315	495	NA	BC01-T
187	169	47	2	228314136	198.640518	75.30416	7938027	FR	19	37	55	75	95	117	143	177	237	309	479	NA	BC18-T2
174	145	49	2	233435330	187.354429	79.081873	10533484	FR	19	39	57	79	99	123	149	183	245	327	515	NA	BC07-T
217	175	66	2	243087082	235.13078	104.551223	16547338	FR	27	53	79	105	133	165	199	243	327	435	677	NA	BC05-T
180	157	50	2	242556019	193.687859	79.257653	6919413	FR	19	39	59	79	101	123	151	185	249	329	509	NA	BC21-T2
144	124	36	2	242551065	152.590716	58.041551	6472611	FR	15	29	43	57	73	91	111	137	183	237	373	NA	BC09-T2
163	139	44	2	229008100	174.745803	70.207483	8816170	FR	17	35	51	69	89	109	133	163	219	291	453	NA	BC02-T
166	143	41	2	217836818	176.372244	65.590988	7734784	FR	17	31	47	65	83	101	125	155	207	269	421	NA	BC04-T2
168	166	14	2	243082358	168.493712	30.708578	5920238	FR	5	9	15	21	29	37	51	69	155	309	469	NA	BC12-P1
181	158	45	2	236047098	192.433079	72.925335	6898658	FR	19	35	53	71	91	113	139	171	229	299	469	NA	BC10-T2
174	166	20	2	242556509	197.945792	65.912165	11019726	FR	7	15	21	29	41	59	95	271	367	525	897	NA	BC04-P1
167	165	15	2	243087071	170.333907	37.10374	8754202	FR	5	9	15	21	31	41	55	83	279	369	753	NA	BC21-P1
169	166	14	2	243082346	171.766746	33.728335	7451285	FR	5	9	15	21	29	39	55	81	273	337	549	NA	BC06-P1
181	167	27	2	242551205	216.312022	79.222096	12930895	FR	11	19	29	39	55	81	203	287	377	559	897	NA	BC10-P1
172	167	13	2	243082322	172.058283	26.560961	5216498	FR	5	11	15	21	27	37	49	67	159	321	485	NA	BC09-P1
167	138	47	2	228971679	179.422128	74.647717	6323723	FR	19	37	55	75	95	117	141	173	233	309	485	NA	BC04-T
177	167	20	2	225874937	198.185909	65.791631	7695612	FR	7	15	23	31	41	59	89	271	367	527	923	NA	BC20-P1
184	155	51	2	242318370	197.824498	81.821385	11706156	FR	21	41	61	81	103	127	155	193	257	337	525	NA	BC06-T
174	147	47	2	242935815	185.670486	75.164456	9028356	FR	19	37	55	75	95	119	145	179	237	309	487	NA	BC16-T
171	166	15	2	243087105	173.931255	38.686005	6506421	FR	5	11	17	23	31	43	59	97	295	375	759	NA	BC14-P1
168	149	44	2	206138207	179.099431	69.909527	1421405	FR	17	35	51	69	89	109	133	165	219	287	445	NA	BC14-T2
177	167	20	2	242556189	197.917939	65.015275	9104413	FR	7	15	23	31	41	57	87	269	373	535	949	NA	BC15-P1
192	168	49	2	242551305	204.855929	78.732124	8713588	FR	19	39	57	77	99	123	149	185	247	325	505	NA	BC15-T2
195	160	55	2	243082052	209.320725	87.566482	8287807	FR	23	43	65	87	111	137	167	205	275	361	567	NA	BC17-T
153	132	42	2	240987514	164.900782	67.810519	1149639	FR	17	33	49	67	85	105	127	157	211	283	451	NA	BC12-T
