CHROMOSOME	LENGTH	ALIGNED_READS	SAMPLE_NAME
1	249250621	1253770	BC20-T2
2	243199373	796261	BC20-T2
3	198022430	799443	BC20-T2
4	191154276	457290	BC20-T2
5	180915260	653629	BC20-T2
6	171115067	894485	BC20-T2
7	159138663	871786	BC20-T2
8	146364022	559555	BC20-T2
9	141213431	585260	BC20-T2
10	135534747	391215	BC20-T2
11	135006516	544930	BC20-T2
12	133851895	906717	BC20-T2
13	115169878	288664	BC20-T2
14	107349540	196531	BC20-T2
15	102531392	343763	BC20-T2
16	90354753	858975	BC20-T2
17	81195210	927101	BC20-T2
18	78077248	108681	BC20-T2
19	59128983	1452935	BC20-T2
20	63025520	586600	BC20-T2
21	48129895	236262	BC20-T2
22	51304566	227441	BC20-T2
X	155270560	656793	BC20-T2
Y	59373566	619	BC20-T2
MT	16569	3566	BC20-T2
GL000207.1	4262	0	BC20-T2
GL000226.1	15008	8	BC20-T2
GL000229.1	19913	2	BC20-T2
GL000231.1	27386	2	BC20-T2
GL000210.1	27682	0	BC20-T2
GL000239.1	33824	2	BC20-T2
GL000235.1	34474	0	BC20-T2
GL000201.1	36148	4	BC20-T2
GL000247.1	36422	15	BC20-T2
GL000245.1	36651	21	BC20-T2
GL000197.1	37175	12	BC20-T2
GL000203.1	37498	2	BC20-T2
GL000246.1	38154	2	BC20-T2
GL000249.1	38502	0	BC20-T2
GL000196.1	38914	15	BC20-T2
GL000248.1	39786	4	BC20-T2
GL000244.1	39929	4	BC20-T2
GL000238.1	39939	2	BC20-T2
GL000202.1	40103	3	BC20-T2
GL000234.1	40531	2	BC20-T2
GL000232.1	40652	0	BC20-T2
GL000206.1	41001	4	BC20-T2
GL000240.1	41933	7	BC20-T2
GL000236.1	41934	1053	BC20-T2
GL000241.1	42152	2	BC20-T2
GL000243.1	43341	47	BC20-T2
GL000242.1	43523	6	BC20-T2
GL000230.1	43691	0	BC20-T2
GL000237.1	45867	15	BC20-T2
GL000233.1	45941	2	BC20-T2
GL000204.1	81310	36	BC20-T2
GL000198.1	90085	2	BC20-T2
GL000208.1	92689	39	BC20-T2
GL000191.1	106433	127	BC20-T2
GL000227.1	128374	2855	BC20-T2
GL000228.1	129120	149	BC20-T2
GL000214.1	137718	83	BC20-T2
GL000221.1	155397	109	BC20-T2
GL000209.1	159169	6	BC20-T2
GL000218.1	161147	12	BC20-T2
GL000220.1	161802	56	BC20-T2
GL000213.1	164239	8	BC20-T2
GL000211.1	166566	9	BC20-T2
GL000199.1	169874	46	BC20-T2
GL000217.1	172149	30	BC20-T2
GL000216.1	172294	119	BC20-T2
GL000215.1	172545	10	BC20-T2
GL000205.1	174588	0	BC20-T2
GL000219.1	179198	12	BC20-T2
GL000224.1	179693	50	BC20-T2
GL000223.1	180455	38	BC20-T2
GL000195.1	182896	0	BC20-T2
GL000212.1	186858	3403	BC20-T2
GL000222.1	186861	67	BC20-T2
GL000200.1	187035	24	BC20-T2
GL000193.1	189789	7	BC20-T2
GL000194.1	191469	31	BC20-T2
GL000225.1	211173	20	BC20-T2
GL000192.1	547496	51	BC20-T2
1	249250621	2336426	BC20-T1
2	243199373	1634422	BC20-T1
3	198022430	2098908	BC20-T1
4	191154276	758999	BC20-T1
5	180915260	1463198	BC20-T1
6	171115067	1954662	BC20-T1
7	159138663	2196250	BC20-T1
8	146364022	1610267	BC20-T1
9	141213431	1277658	BC20-T1
10	135534747	772377	BC20-T1
11	135006516	1132041	BC20-T1
12	133851895	2184315	BC20-T1
13	115169878	591854	BC20-T1
14	107349540	366595	BC20-T1
15	102531392	692626	BC20-T1
16	90354753	2031382	BC20-T1
17	81195210	2106864	BC20-T1
18	78077248	138257	BC20-T1
19	59128983	3683019	BC20-T1
20	63025520	1844846	BC20-T1
21	48129895	528158	BC20-T1
22	51304566	498905	BC20-T1
X	155270560	1884509	BC20-T1
Y	59373566	598	BC20-T1
MT	16569	7904	BC20-T1
GL000207.1	4262	0	BC20-T1
GL000226.1	15008	7	BC20-T1
GL000229.1	19913	0	BC20-T1
GL000231.1	27386	1	BC20-T1
GL000210.1	27682	0	BC20-T1
GL000239.1	33824	8	BC20-T1
GL000235.1	34474	0	BC20-T1
GL000201.1	36148	11	BC20-T1
GL000247.1	36422	28	BC20-T1
GL000245.1	36651	17	BC20-T1
GL000197.1	37175	8	BC20-T1
GL000203.1	37498	0	BC20-T1
GL000246.1	38154	6	BC20-T1
GL000249.1	38502	13	BC20-T1
GL000196.1	38914	10	BC20-T1
GL000248.1	39786	0	BC20-T1
GL000244.1	39929	12	BC20-T1
GL000238.1	39939	2	BC20-T1
GL000202.1	40103	6	BC20-T1
GL000234.1	40531	2	BC20-T1
GL000232.1	40652	0	BC20-T1
GL000206.1	41001	4	BC20-T1
GL000240.1	41933	6	BC20-T1
GL000236.1	41934	2502	BC20-T1
GL000241.1	42152	3	BC20-T1
GL000243.1	43341	57	BC20-T1
GL000242.1	43523	12	BC20-T1
GL000230.1	43691	0	BC20-T1
GL000237.1	45867	8	BC20-T1
GL000233.1	45941	2	BC20-T1
GL000204.1	81310	27	BC20-T1
GL000198.1	90085	5	BC20-T1
GL000208.1	92689	16	BC20-T1
GL000191.1	106433	220	BC20-T1
GL000227.1	128374	4249	BC20-T1
GL000228.1	129120	158	BC20-T1
GL000214.1	137718	73	BC20-T1
GL000221.1	155397	112	BC20-T1
GL000209.1	159169	8	BC20-T1
GL000218.1	161147	42	BC20-T1
GL000220.1	161802	55	BC20-T1
GL000213.1	164239	13	BC20-T1
GL000211.1	166566	11	BC20-T1
GL000199.1	169874	13	BC20-T1
GL000217.1	172149	35	BC20-T1
GL000216.1	172294	87	BC20-T1
GL000215.1	172545	12	BC20-T1
GL000205.1	174588	4	BC20-T1
GL000219.1	179198	15	BC20-T1
GL000224.1	179693	44	BC20-T1
GL000223.1	180455	62	BC20-T1
GL000195.1	182896	0	BC20-T1
GL000212.1	186858	7662	BC20-T1
GL000222.1	186861	100	BC20-T1
GL000200.1	187035	15	BC20-T1
GL000193.1	189789	8	BC20-T1
GL000194.1	191469	38	BC20-T1
GL000225.1	211173	8	BC20-T1
GL000192.1	547496	77	BC20-T1
1	249250621	2844096	BC18-P1
2	243199373	2009007	BC18-P1
3	198022430	1667478	BC18-P1
4	191154276	1003676	BC18-P1
5	180915260	1476241	BC18-P1
6	171115067	1741363	BC18-P1
7	159138663	1767471	BC18-P1
8	146364022	899533	BC18-P1
9	141213431	1383951	BC18-P1
10	135534747	963687	BC18-P1
11	135006516	1280737	BC18-P1
12	133851895	1864137	BC18-P1
13	115169878	702175	BC18-P1
14	107349540	456933	BC18-P1
15	102531392	915711	BC18-P1
16	90354753	1763074	BC18-P1
17	81195210	1826359	BC18-P1
18	78077248	270662	BC18-P1
19	59128983	2688607	BC18-P1
20	63025520	763117	BC18-P1
21	48129895	540444	BC18-P1
22	51304566	596235	BC18-P1
X	155270560	1442059	BC18-P1
Y	59373566	1007	BC18-P1
MT	16569	205	BC18-P1
GL000207.1	4262	0	BC18-P1
GL000226.1	15008	1	BC18-P1
GL000229.1	19913	0	BC18-P1
GL000231.1	27386	6	BC18-P1
GL000210.1	27682	17	BC18-P1
GL000239.1	33824	10	BC18-P1
GL000235.1	34474	6	BC18-P1
GL000201.1	36148	31	BC18-P1
GL000247.1	36422	10	BC18-P1
GL000245.1	36651	24	BC18-P1
GL000197.1	37175	10	BC18-P1
GL000203.1	37498	0	BC18-P1
GL000246.1	38154	6	BC18-P1
GL000249.1	38502	20	BC18-P1
GL000196.1	38914	23	BC18-P1
GL000248.1	39786	7	BC18-P1
GL000244.1	39929	8	BC18-P1
GL000238.1	39939	6	BC18-P1
GL000202.1	40103	12	BC18-P1
GL000234.1	40531	0	BC18-P1
GL000232.1	40652	2	BC18-P1
GL000206.1	41001	26	BC18-P1
GL000240.1	41933	2	BC18-P1
GL000236.1	41934	5620	BC18-P1
GL000241.1	42152	9	BC18-P1
GL000243.1	43341	56	BC18-P1
GL000242.1	43523	14	BC18-P1
GL000230.1	43691	0	BC18-P1
GL000237.1	45867	12	BC18-P1
