Chromosome	Start_Position	End_Position	Log2_Ratio	BAF	qt	q2	tumor_id	normal_id
1	2488123	245977996	-0.0011558371448627536	0.004467578300366671	2	1	BC01-P1	BC01-N
2	4717089	242800905	0.06633511240463477	0.004474999554811894	2	1	BC01-P1	BC01-N
3	1449841	194238390	-0.026520508637752044	7.836469769645568e-6	2	1	BC01-P1	BC01-N
4	1402650	190262486	-0.11528524786600433	0.0060942394852189314	2	1	BC01-P1	BC01-N
5	218502	180058766	-0.01909734951570108	0.004363713962858427	2	1	BC01-P1	BC01-N
6	393359	170798891	-0.054124647187649935	-0.002994194322471709	2	1	BC01-P1	BC01-N
7	1672540	158450965	0.06938171951815153	0.012875653790251289	2	1	BC01-P1	BC01-N
8	565232	145743174	0.2820583427899409	0.00602295472052921	2	1	BC01-P1	BC01-N
9	421980	139566735	-0.018809197210314568	0.0015448958209861444	2	1	BC01-P1	BC01-N
10	1510070	134199067	0.2662430194508614	0.00928112125927726	2	1	BC01-P1	BC01-N
11	532700	133495556	-0.012282762635041848	0.01416721020954383	2	1	BC01-P1	BC01-N
12	394797	133263825	0.047987706200530306	0.0022741533588627647	2	1	BC01-P1	BC01-N
13	21004738	111119077	0.011985757817025426	0.016433220499630346	2	1	BC01-P1	BC01-N
14	20347564	105906096	-0.06915497223351208	-0.003808302539061214	2	1	BC01-P1	BC01-N
15	26216370	99861618	0.03211966160966802	0.0011770647846161414	2	1	BC01-P1	BC01-N
16	115072	89883007	-0.012961914760969407	3.714796811586938e-4	2	1	BC01-P1	BC01-N
17	114669	80783038	-0.0038800756825149996	-0.0027049481150003517	2	1	BC01-P1	BC01-N
18	724550	74387299	0.01065516270210648	0.006782380280713177	2	1	BC01-P1	BC01-N
19	1207008	58288169	0.08768557806124555	0.004730331944306085	2	1	BC01-P1	BC01-N
20	345864	60426113	0.022610728664171263	0.001399283278558411	2	1	BC01-P1	BC01-N
21	17798960	45658303	0.21321506123158987	0.003506062153661833	2	1	BC01-P1	BC01-N
22	19053406	49370864	0.21177615983329395	0.006541188870751381	2	1	BC01-P1	BC01-N
23	3085464	149924738	-0.5149772701710313	0.0031099148020994815	1	1	BC01-P1	BC01-N
1	2488123	245977996	-0.018612774511747712	0.2562900046616342	2	1	BC01-T	BC01-N
2	4717089	242800905	0.056420113865962296	0.04895471573568336	2	1	BC01-T	BC01-N
3	1449841	194238390	0.13350133968239852	0.1931753416074944	3	2	BC01-T	BC01-N
4	1402650	190262486	-0.4994471195601792	0.2805603535993271	0	0	BC01-T	BC01-N
5	218502	39074286	-0.09341173803132143	0.023812582599052372	2	2	BC01-T	BC01-N
5	40457459	112179564	-0.3609701019103274	0.24178107844075952	1	1	BC01-T	BC01-N
5	112676024	180058766	-0.013413508350915301	0.002477028561974389	2	2	BC01-T	BC01-N
6	393359	170798891	0.023173486943885435	0.16217809089595217	2	1	BC01-T	BC01-N
7	1672540	158450965	-0.012190929876600642	0.07697823110610658	2	1	BC01-T	BC01-N
8	565232	145743174	-0.09460496434379692	0.07878971538712838	2	1	BC01-T	BC01-N
9	421980	139566735	-0.3412122121049142	0.18433587203832888	1	1	BC01-T	BC01-N
10	1510070	134199067	-0.037318839293026734	0.041437272655281104	2	1	BC01-T	BC01-N
11	532700	133495556	-9.323657152118525e-4	0.3601643532791774	2	1	BC01-T	BC01-N
12	394797	27578912	0.6423105714892045	0.46862919424595545	4	3	BC01-T	BC01-N
12	28073172	133263825	-0.03840059115006466	0.15191571696335307	2	1	BC01-T	BC01-N
13	21004738	111119077	-0.053303923225639704	0.46589710839962756	2	1	BC01-T	BC01-N
14	20347564	105906096	-0.32369380294465666	0.1461607781923135	1	1	BC01-T	BC01-N
15	26216370	99861618	-0.08063329975397995	0.0037397173149639022	2	2	BC01-T	BC01-N
16	115072	89883007	-0.036865003664782875	0.06822981765559938	2	2	BC01-T	BC01-N
17	114669	80783038	-0.09018308526700208	0.5483929722944758	2	2	BC01-T	BC01-N
18	724550	74387299	-0.15965125296955646	0.08081420499528581	2	2	BC01-T	BC01-N
19	1207008	7293898	-0.23161567948060524	0.3210471855909322	1	1	BC01-T	BC01-N
19	10244397	18277964	0.6241491629748734	0.4978307230332912	4	NA	BC01-T	BC01-N
19	18279351	58288169	-0.04683975821324615	0.014525682717375522	2	NA	BC01-T	BC01-N
20	345864	60426113	-0.017717636593831937	0.017269520309983293	2	2	BC01-T	BC01-N
21	17798960	45658303	0.19594944902610228	0.11300539286393989	3	2	BC01-T	BC01-N
22	19053406	49370864	0.13192198871022376	0.6564961568811827	3	2	BC01-T	BC01-N
23	3085464	149924738	-0.20862300055061417	0.004771362331650892	1	1	BC01-T	BC01-N
1	2488123	245977996	-0.018236265223316797	0.05514041851659922	2	1	BC01-T2	BC01-N
2	4717089	242800905	0.1153279547905085	0.017724139265935013	3	2	BC01-T2	BC01-N
3	1449841	194238390	0.044583283113095395	0.055499817391157294	3	2	BC01-T2	BC01-N
4	1402650	190262486	-0.38133922167351386	0.0564720796952145	1	1	BC01-T2	BC01-N
5	218502	180058766	-0.10460696631278284	0.0037354879699669835	2	1	BC01-T2	BC01-N
6	393359	170798891	0.14821960160093886	0.024383835195189798	3	2	BC01-T2	BC01-N
7	1672540	158450965	0.01503961427268001	0.020394003993233628	3	2	BC01-T2	BC01-N
8	565232	145743174	0.20639078228456229	0.03180227146784107	4	2	BC01-T2	BC01-N
9	421980	139566735	-0.2799221306971733	0.04009031638514909	1	1	BC01-T2	BC01-N
10	1510070	134199067	0.18349822439463215	0.014652801060162986	4	2	BC01-T2	BC01-N
11	532700	133495556	0.026111908877265895	0.03677244778308583	3	2	BC01-T2	BC01-N
12	394797	430191	0.4013538492802509	0	5	NA	BC01-T2	BC01-N
12	431637	18398236	1.2694529418157332	0.19578643959824743	13	8	BC01-T2	BC01-N
12	18407048	133263825	0.00506057531952947	0.043323708074779185	3	2	BC01-T2	BC01-N
13	21004738	111119077	0.01541184807353185	0.0923150431119863	3	2	BC01-T2	BC01-N
14	20347564	105906096	-0.25240933636570867	0.03606767357526486	1	1	BC01-T2	BC01-N
15	26216370	99861618	-0.04296989558415922	0.008001177758266677	2	2	BC01-T2	BC01-N
